original_row_id,component_id,lot_id,component_type,manufacturer,temperature_C,voltage_V,value_0h,value_24h,value_96h,value_168h,failure_label,change_0h_24h,change_24h_96h,change_96h_168h,overall_change_0h_168h,percentage_change,drift_rate,unusual_trajectory,data_quality_flags,data_quality_status,is_valid_for_ml
45,C00046,LOT_05,TYPE_B,MFG_A,123.85,5.0,9.137,10.355,14.088,20.507,0,1.218,3.7329999999999988,6.419000000000002,11.370000000000001,124.43909379446208,0.06767857142857144,False,NONE,VALID,TRUE
46,C00047,LOT_06,TYPE_A,MFG_B,126.16,5.0,12.278,12.324,12.995,13.41,0,0.045999999999999375,0.6709999999999994,0.4150000000000009,1.1319999999999997,9.219742629092684,0.006738095238095236,False,NONE,VALID,TRUE
47,C00048,LOT_03,TYPE_C,MFG_A,127.47,5.0,11.703,11.996,12.509,13.295,0,0.29300000000000104,0.5129999999999999,0.7859999999999996,1.5920000000000005,13.603349568486717,0.00947619047619048,False,NONE,VALID,TRUE
48,C00049,LOT_13,TYPE_B,MFG_C,125.0,5.0,11.74,12.166,12.404,12.756,0,0.42600000000000016,0.23799999999999955,0.3520000000000003,1.016,8.654173764906304,0.006047619047619047,False,NONE,VALID,TRUE
49,C00050,LOT_11,TYPE_C,MFG_C,125.02,3.3,10.842,10.976,11.327,11.084,0,0.13400000000000034,0.3509999999999991,-0.24300000000000033,0.2419999999999991,2.232060505441792,0.0014404761904761852,False,NONE,VALID,TRUE
50,C00051,LOT_12,TYPE_B,MFG_B,125.56,5.0,11.795,12.095,12.582,13.203,0,0.3000000000000007,0.4870000000000001,0.6209999999999987,1.4079999999999995,11.93726155150487,0.008380952380952378,False,NONE,VALID,TRUE
51,C00052,LOT_19,TYPE_B,MFG_B,124.61,5.0,12.152,12.255,12.621,13.123,0,0.10300000000000153,0.36599999999999966,0.5019999999999989,0.9710000000000001,7.990454246214616,0.005779761904761906,False,NONE,VALID,TRUE
52,C00053,LOT_09,TYPE_C,MFG_A,127.61,3.3,8.594,8.984,9.673,9.997,0,0.39000000000000057,0.6890000000000001,0.32399999999999984,1.4030000000000005,16.325343262741455,0.008351190476190479,False,NONE,VALID,TRUE
53,C00054,LOT_07,TYPE_A,MFG_C,124.83,5.0,11.506,11.682,12.439,66.172,1,0.17600000000000016,0.7569999999999997,53.733,54.666,475.1086389709716,0.32539285714285715,True,NONE,VALID,TRUE
54,C00055,LOT_08,TYPE_B,MFG_B,126.83,5.5,11.511,14.064,20.871,24.98,1,2.553000000000001,6.806999999999999,4.109000000000002,13.469000000000001,117.00981669707238,0.08017261904761905,False,NONE,VALID,TRUE
55,C00056,LOT_17,TYPE_A,MFG_B,124.88,3.3,10.638,11.437,13.991,17.423,0,0.7989999999999995,2.5540000000000003,3.4319999999999986,6.784999999999998,63.780785862004116,0.04038690476190475,False,NONE,VALID,TRUE
56,C00057,LOT_11,TYPE_B,MFG_A,123.73,5.0,9.455,9.508,9.865,10.05,0,0.05299999999999905,0.3570000000000011,0.1850000000000005,0.5950000000000006,6.292966684294031,0.0035416666666666704,False,NONE,VALID,TRUE
57,C00058,LOT_04,TYPE_A,MFG_A,126.11,5.5,10.726,11.303,11.412,68.672,1,0.577,0.10899999999999999,57.26,57.946,540.2386723848591,0.34491666666666665,True,NONE,VALID,TRUE
58,C00059,LOT_14,TYPE_B,MFG_A,126.03,3.3,11.464,12.906,16.001,21.408,0,1.4420000000000002,3.0950000000000006,5.407,9.944,86.74110258199582,0.059190476190476196,False,NONE,VALID,TRUE
59,C00060,LOT_15,TYPE_B,MFG_B,123.89,3.3,9.865,10.591,13.629,15.461,0,0.7259999999999991,3.0380000000000003,1.8320000000000007,5.596,56.72579827673594,0.03330952380952381,False,NONE,VALID,TRUE
60,C00061,LOT_05,TYPE_B,MFG_C,124.41,5.0,9.721,9.811,10.07,10.566,0,0.08999999999999986,0.25900000000000034,0.49600000000000044,0.8450000000000006,8.692521345540587,0.005029761904761908,False,NONE,VALID,TRUE
61,C00062,LOT_12,TYPE_A,MFG_C,125.08,5.0,11.596,11.618,12.162,12.199,0,0.02200000000000024,0.5440000000000005,0.036999999999999034,0.6029999999999998,5.200068989306655,0.003589285714285713,False,NONE,VALID,TRUE
62,C00063,LOT_12,TYPE_B,MFG_B,125.66,5.0,12.226,12.678,13.099,13.12,0,0.45199999999999996,0.4209999999999994,0.02099999999999902,0.8939999999999984,7.312285293636498,0.005321428571428562,False,NONE,VALID,TRUE
63,C00064,LOT_04,TYPE_C,MFG_B,124.03,5.0,11.149,15.966,26.623,37.92,1,4.817,10.657000000000002,11.297,26.771,240.12019015158313,0.15935119047619048,False,NONE,VALID,TRUE
64,C00065,LOT_01,TYPE_A,MFG_C,121.17,5.0,11.255,11.468,11.996,12.501,0,0.2129999999999992,0.5280000000000005,0.504999999999999,1.2459999999999987,11.070635273211893,0.007416666666666659,False,NONE,VALID,TRUE
65,C00066,LOT_15,TYPE_A,MFG_A,124.02,5.0,9.779,9.992,10.594,10.674,0,0.21300000000000097,0.6019999999999985,0.08000000000000007,0.8949999999999996,9.152265057776866,0.00532738095238095,False,NONE,VALID,TRUE
66,C00067,LOT_13,TYPE_C,MFG_B,120.0,3.3,11.323,11.487,12.03,12.601,0,0.1639999999999997,0.5429999999999993,0.5710000000000015,1.2780000000000005,11.286761458977306,0.00760714285714286,False,NONE,VALID,TRUE
67,C00068,LOT_15,TYPE_C,MFG_B,126.53,5.0,10.686,11.0,11.21,11.45,0,0.31400000000000006,0.21000000000000085,0.23999999999999844,0.7639999999999993,7.149541456110793,0.004547619047619043,False,NONE,VALID,TRUE
68,C00069,LOT_08,TYPE_A,MFG_A,125.8,3.3,10.839,10.991,11.126,11.474,0,0.15199999999999925,0.1349999999999998,0.34800000000000075,0.6349999999999998,5.85847402896946,0.0037797619047619034,False,NONE,VALID,TRUE
69,C00070,LOT_11,TYPE_B,MFG_A,124.42,5.5,9.222,10.542,15.607,29.453,0,1.3200000000000003,5.0649999999999995,13.846,20.231,219.37757536326183,0.12042261904761906,False,NONE,VALID,TRUE
70,C00071,LOT_20,TYPE_A,MFG_A,124.85,3.3,10.477,12.406,14.852,19.09,0,1.9290000000000003,2.4459999999999997,4.2379999999999995,8.613,82.20864751360122,0.05126785714285714,False,NONE,VALID,TRUE
71,C00072,LOT_05,TYPE_C,MFG_B,126.57,3.3,9.09,9.971,12.005,15.523,0,0.8810000000000002,2.0340000000000007,3.517999999999999,6.433,70.77007700770078,0.03829166666666667,False,NONE,VALID,TRUE
72,C00073,LOT_14,TYPE_B,MFG_A,123.75,5.0,11.549,11.721,11.925,12.35,0,0.1720000000000006,0.20400000000000063,0.42499999999999893,0.8010000000000002,6.935665425577973,0.004767857142857144,False,NONE,VALID,TRUE
73,C00074,LOT_03,TYPE_B,MFG_A,124.71,3.3,10.501,10.601,10.761,11.07,0,0.10000000000000142,0.15999999999999837,0.30900000000000105,0.5690000000000008,5.418531568422064,0.0033869047619047668,False,NONE,VALID,TRUE
74,C00075,LOT_02,TYPE_A,MFG_A,125.98,5.0,10.596,10.479,10.65,11.029,0,-0.11700000000000088,0.17100000000000115,0.37899999999999956,0.43299999999999983,4.086447716119289,0.0025773809523809512,False,NONE,VALID,TRUE
75,C00076,LOT_20,TYPE_B,MFG_C,124.1,5.5,11.363,11.844,12.364,12.932,0,0.48099999999999987,0.5200000000000014,0.5679999999999996,1.5690000000000008,13.807973246501811,0.00933928571428572,False,NONE,VALID,TRUE
76,C00077,LOT_03,TYPE_A,MFG_C,124.97,5.0,11.555,12.042,12.512,12.604,0,0.4870000000000001,0.47000000000000064,0.09199999999999875,1.0489999999999995,9.078321073128512,0.006244047619047616,False,NONE,VALID,TRUE
77,C00078,LOT_14,TYPE_C,MFG_C,125.53,3.3,12.124,12.507,12.914,13.319,0,0.3829999999999991,0.40700000000000003,0.40500000000000114,1.1950000000000003,9.856483008907952,0.0071130952380952395,False,NONE,VALID,TRUE
78,C00079,LOT_11,TYPE_B,MFG_C,124.99,3.3,9.447,9.582,9.998,10.311,0,0.13500000000000156,0.4159999999999986,0.3130000000000006,0.8640000000000008,9.145760558907599,0.005142857142857148,False,NONE,VALID,TRUE
79,C00080,LOT_17,TYPE_B,MFG_A,124.31,5.0,11.352,11.494,12.281,11.951,0,0.14199999999999946,0.7870000000000008,-0.33000000000000007,0.5990000000000002,5.276603241719522,0.003565476190476192,False,NONE,VALID,TRUE
80,C00081,LOT_11,TYPE_C,MFG_A,124.78,5.0,10.061,9.453,9.51,9.786,0,-0.6080000000000005,0.057000000000000384,0.2759999999999998,-0.27500000000000036,-2.7333267070867744,-0.0016369047619047641,False,NONE,VALID,TRUE
81,C00082,LOT_14,TYPE_A,MFG_B,122.72,3.3,10.773,10.511,10.897,10.968,0,-0.26200000000000045,0.386000000000001,0.07099999999999973,0.19500000000000028,1.8100807574491813,0.0011607142857142875,False,NONE,VALID,TRUE
82,C00083,LOT_18,TYPE_A,MFG_B,124.56,3.3,7.939,7.742,8.23,8.502,0,-0.19700000000000006,0.48800000000000043,0.27200000000000024,0.5630000000000006,7.091573246000764,0.00335119047619048,False,NONE,VALID,TRUE
83,C00084,LOT_17,TYPE_B,MFG_C,124.93,5.5,10.833,10.928,11.431,11.771,0,0.09500000000000064,0.5029999999999983,0.34000000000000163,0.9380000000000006,8.65872796086034,0.005583333333333337,False,NONE,VALID,TRUE
84,C00085,LOT_15,TYPE_C,MFG_A,123.07,5.0,9.294,9.585,10.123,10.596,0,0.29100000000000037,0.5379999999999985,0.47300000000000075,1.3019999999999996,14.009038089089731,0.007749999999999997,False,NONE,VALID,TRUE
85,C00086,LOT_04,TYPE_A,MFG_C,128.52,5.0,10.643,16.582,27.228,37.97,1,5.939,10.646,10.741999999999997,27.326999999999998,256.7603119421216,0.16266071428571427,False,NONE,VALID,TRUE
86,C00087,LOT_04,TYPE_C,MFG_A,125.85,3.3,11.517,11.607,12.132,12.537,0,0.08999999999999986,0.5250000000000004,0.40500000000000114,1.0200000000000014,8.85647303985414,0.006071428571428579,False,NONE,VALID,TRUE
87,C00088,LOT_10,TYPE_B,MFG_B,125.18,5.0,11.017,11.144,11.539,11.3,0,0.12700000000000067,0.3949999999999996,-0.238999999999999,0.28300000000000125,2.568757374965973,0.001684523809523817,False,NONE,VALID,TRUE
88,C00089,LOT_14,TYPE_B,MFG_C,125.6,5.0,12.746,12.644,12.971,12.968,0,-0.10200000000000031,0.32699999999999996,-0.0030000000000001137,0.22199999999999953,1.741722893456767,0.0013214285714285687,False,NONE,VALID,TRUE
89,C00090,LOT_14,TYPE_B,MFG_B,127.88,5.0,12.19,12.655,12.758,13.452,0,0.46499999999999986,0.10299999999999976,0.6940000000000008,1.2620000000000005,10.352748154224777,0.007511904761904765,False,NONE,VALID,TRUE
90,C00091,LOT_16,TYPE_A,MFG_C,124.69,5.0,9.278,8.954,9.304,86.3,1,-0.32399999999999984,0.34999999999999964,76.996,77.02199999999999,830.1573615003232,0.45846428571428566,True,NONE,VALID,TRUE
91,C00092,LOT_03,TYPE_A,MFG_C,126.97,3.3,11.557,12.034,12.739,12.934,0,0.4770000000000003,0.7050000000000001,0.1949999999999985,1.376999999999999,11.91485679674655,0.008196428571428565,False,NONE,VALID,TRUE
92,C00093,LOT_04,TYPE_C,MFG_C,127.13,5.5,11.217,13.139,17.668,25.677,0,1.9219999999999988,4.529,8.009,14.459999999999999,128.91147365605775,0.08607142857142856,False,NONE,VALID,TRUE
93,C00094,LOT_03,TYPE_B,MFG_C,124.11,5.0,12.053,11.947,12.229,12.562,0,-0.10600000000000165,0.28200000000000003,0.3330000000000002,0.5089999999999986,4.223015017008201,0.0030297619047618962,False,NONE,VALID,TRUE
94,C00095,LOT_11,TYPE_B,MFG_A,125.39,3.3,9.692,10.127,10.46,10.585,0,0.4350000000000005,0.3330000000000002,0.125,0.8930000000000007,9.213784564589359,0.005315476190476194,False,NONE,VALID,TRUE
95,C00096,LOT_13,TYPE_C,MFG_A,122.85,5.0,10.199,10.159,10.645,11.13,0,-0.03999999999999915,0.4859999999999989,0.4850000000000012,0.9310000000000009,9.12834591626631,0.005541666666666672,False,NONE,VALID,TRUE
96,C00097,LOT_03,TYPE_A,MFG_C,123.47,5.5,11.313,16.561,29.33,42.643,1,5.247999999999999,12.768999999999998,13.313000000000002,31.33,276.93803588791656,0.18648809523809523,True,NONE,VALID,TRUE
97,C00098,LOT_18,TYPE_B,MFG_B,125.05,5.0,8.78,8.818,8.975,9.631,0,0.038000000000000256,0.15700000000000003,0.6560000000000006,0.8510000000000009,9.69248291571755,0.005065476190476196,False,NONE,VALID,TRUE
98,C00099,LOT_07,TYPE_A,MFG_B,124.2,5.0,11.949,12.296,13.177,13.159,0,0.34699999999999953,0.8810000000000002,-0.017999999999998906,1.2100000000000009,10.126370407565494,0.0072023809523809575,False,NONE,VALID,TRUE
99,C00100,LOT_14,TYPE_A,MFG_B,124.66,5.0,12.426,12.553,13.176,13.485,0,0.12700000000000067,0.6229999999999993,0.3089999999999993,1.0589999999999993,8.522452921294054,0.006303571428571424,False,NONE,VALID,TRUE
100,C00101,LOT_16,TYPE_C,MFG_A,126.78,3.3,8.845,9.343,9.683,9.482,0,0.49799999999999933,0.33999999999999986,-0.2010000000000005,0.6369999999999987,7.201808931599758,0.003791666666666659,False,NONE,VALID,TRUE
101,C00102,LOT_01,TYPE_C,MFG_B,123.69,5.0,11.774,11.647,12.475,13.29,0,-0.1269999999999989,0.8279999999999994,0.8149999999999995,1.516,12.875828095804314,0.009023809523809524,False,NONE,VALID,TRUE
102,C00103,LOT_18,TYPE_A,MFG_C,125.18,3.3,8.614,8.71,9.036,9.323,0,0.09600000000000009,0.32599999999999874,0.2870000000000008,0.7089999999999996,8.230787090782442,0.004220238095238093,False,NONE,VALID,TRUE
103,C00104,LOT_20,TYPE_C,MFG_A,125.32,5.0,11.132,11.581,12.212,12.404,0,0.44899999999999984,0.6310000000000002,0.19200000000000017,1.2720000000000002,11.426518145885737,0.007571428571428573,False,NONE,VALID,TRUE
104,C00105,LOT_20,TYPE_A,MFG_A,123.8,5.0,10.658,11.78,18.764,33.409,0,1.1219999999999999,6.984,14.645,22.750999999999998,213.46406455244886,0.13542261904761904,False,NONE,VALID,TRUE
105,C00106,LOT_03,TYPE_C,MFG_A,123.33,3.3,11.966,15.106,26.387,40.104,1,3.1400000000000006,11.281,13.716999999999999,28.137999999999998,235.14959050643492,0.1674880952380952,True,NONE,VALID,TRUE
106,C00107,LOT_08,TYPE_C,MFG_B,125.64,5.5,11.638,11.721,11.824,12.555,0,0.08300000000000018,0.10299999999999976,0.7309999999999999,0.9169999999999998,7.879360714899465,0.005458333333333332,False,NONE,VALID,TRUE
107,C00108,LOT_05,TYPE_A,MFG_A,127.4,5.0,8.179,8.489,8.91,9.383,0,0.3100000000000005,0.4209999999999994,0.472999999999999,1.2039999999999988,14.720625993397713,0.00716666666666666,False,NONE,VALID,TRUE
108,C00109,LOT_10,TYPE_B,MFG_B,124.74,5.0,10.303,10.804,10.852,11.616,0,0.5009999999999994,0.04800000000000004,0.7639999999999993,1.3129999999999988,12.743861011355904,0.007815476190476183,False,NONE,VALID,TRUE
109,C00110,LOT_20,TYPE_C,MFG_A,126.67,5.0,10.813,12.123,15.431,21.904,0,1.3099999999999987,3.308,6.473000000000001,11.091,102.5709793766762,0.06601785714285714,False,NONE,VALID,TRUE
110,C00111,LOT_16,TYPE_A,MFG_A,127.78,5.0,9.522,10.029,10.41,10.645,0,0.5069999999999997,0.3810000000000002,0.23499999999999943,1.1229999999999993,11.793740810754036,0.006684523809523805,False,NONE,VALID,TRUE
111,C00112,LOT_16,TYPE_A,MFG_A,120.44,3.3,8.947,9.486,11.418,15.273,0,0.5390000000000015,1.9319999999999986,3.8550000000000004,6.3260000000000005,70.70526433441378,0.037654761904761906,False,NONE,VALID,TRUE
112,C00113,LOT_09,TYPE_B,MFG_A,124.72,5.0,10.128,10.778,13.138,16.766,0,0.6500000000000004,2.3599999999999994,3.6279999999999983,6.637999999999998,65.54107424960503,0.03951190476190475,False,NONE,VALID,TRUE
113,C00114,LOT_19,TYPE_A,MFG_C,125.48,5.5,11.805,12.629,15.562,17.945,0,0.8239999999999998,2.933,2.383000000000001,6.140000000000001,52.01185938161797,0.03654761904761905,False,NONE,VALID,TRUE
114,C00115,LOT_19,TYPE_A,MFG_C,122.8,3.3,11.321,11.734,12.003,11.744,0,0.41300000000000026,0.26900000000000013,-0.25900000000000034,0.42300000000000004,3.736419044254042,0.0025178571428571433,False,NONE,VALID,TRUE
115,C00116,LOT_17,TYPE_A,MFG_C,125.38,5.5,10.218,12.168,16.262,22.358,1,1.9499999999999993,4.094000000000001,6.096,12.14,118.80994323742415,0.07226190476190476,False,NONE,VALID,TRUE
116,C00117,LOT_17,TYPE_B,MFG_C,124.49,5.0,10.216,10.289,10.636,10.634,0,0.0730000000000004,0.34699999999999953,-0.0019999999999988916,0.41800000000000104,4.091620986687559,0.002488095238095244,False,NONE,VALID,TRUE
